id,offerer,recipient,price,transactionHash,blockTimestamp,price_eth
0x000039fa70806d51eabf3a10c520f24e71c380121e784f65dadd05c1e31c9056-61,0x491befac53aac201e97cd6f4c750e4a958d22d46,0xe95bc7ce8b9dad12eb427c8d486f47800b0b0024,6.1975e+16,0x000039fa70806d51eabf3a10c520f24e71c380121e784f65dadd05c1e31c9056,2022-10-06 02:12:59,0.061975
0x00003baae3b2ca64b8a36193657f68ff971522a7dc1bebcea2cb4f454a16fca0-153,0xe7a314f7463b5bedbd4d0aa0a1856b75a7895558,0x0b79ad573555c0f33543cf1b235da24d948ed04f,2.1e+16,0x00003baae3b2ca64b8a36193657f68ff971522a7dc1bebcea2cb4f454a16fca0,2022-09-10 04:57:43,0.021
0x00003e6c4a3cb88993d0b2dade1d034ea1fb09dd66944bcbbae14e94ab8ee255-313,0x4e646af12ffae6c0fde8ac048877382ddc867ee4,0xc1586422e3f3f52d932dcea87ac259198bc80e19,7279750000000000.0,0x00003e6c4a3cb88993d0b2dade1d034ea1fb09dd66944bcbbae14e94ab8ee255,2022-10-27 09:37:11,0.00727975
0x00003eaca2d8a0ab9590c94a9dd86e0c827b3f0e56a1f8570e5afe6706176fd8-175,0x1f7dc3edc45da9daf67b89d18479fdb1deb9d123,0x2d2671f28f3a55c6372121a110cdb07804b5a4a5,9.8505e+16,0x00003eaca2d8a0ab9590c94a9dd86e0c827b3f0e56a1f8570e5afe6706176fd8,2023-02-24 13:31:47,0.098505
0x00003fa6f7bc2127c5901647eff0f244a6bcdc781c016ccea8eea8c12bb5ecd9-152,0x7afdad9c440441f8e7c679ba325d0c41e6161e72,0x59b87fa89986c81babd1d91ebbf109f8855c7def,9067500000000000.0,0x00003fa6f7bc2127c5901647eff0f244a6bcdc781c016ccea8eea8c12bb5ecd9,2023-02-05 15:25:59,0.0090675
0x00003fc6120f41e1104a406a0d72b7b49c9aff3fae3413b0cced027c28538342-185,0x8ee3cc8985608e0e105338067353d3c5262331b4,0xc2d23d96dab65510c75c90e775b1d386a92b0182,1.0,0x00003fc6120f41e1104a406a0d72b7b49c9aff3fae3413b0cced027c28538342,2022-10-23 07:58:23,1e-18
0x00004126377f38395e097c624f4c6799ea863848d316e1b78c0e7a166b551311-245,0x4b085ae880b3a161ee763ac3f56a95c1facdbde4,0x0a44bb5e42e31159756d71c5f28bf1177897ef50,5940000000000000.0,0x00004126377f38395e097c624f4c6799ea863848d316e1b78c0e7a166b551311,2022-08-25 16:13:35,0.00594
0x000043e7d363d7d269c279e888cfe6b569e8a48f315736a00bdf06ff8627cafc-162,0x60f705861ae52e4787543c1c47b6eaf25a4b9acb,0x055a2f5c36df3658e187e491c0524c673df1e027,1.0,0x000043e7d363d7d269c279e888cfe6b569e8a48f315736a00bdf06ff8627cafc,2023-01-19 11:16:11,1e-18
0x0000469192d4178d07fa48da81f02ee6fbebc4947757aa5a48528df17ca3421d-38,0x1249b0222180444ed7c54fbe98f039fab5be0969,0xbe253a7bbacc4d76ec48f66dab6293234267c8e0,1.053e+17,0x0000469192d4178d07fa48da81f02ee6fbebc4947757aa5a48528df17ca3421d,2022-08-10 16:08:54,0.1053
0x000046d635f4c234ce7df6a0e7284541894fa181d0ab669d024b165d04bdc8dd-479,0x46f8ff21273969d08ec843ed7179874c6e8ee868,0xcdbb7f31349a483a47585486c162a12d349036a6,1.0,0x000046d635f4c234ce7df6a0e7284541894fa181d0ab669d024b165d04bdc8dd,2022-09-08 06:28:03,1e-18
0x000047bf62d55da135b83388be9fb55db65b1d885dcad94a0c5c8134fe2f8ee3-122,0xf8ac3d272d67aa4accf0207f5503611245388282,0x36c72892fcc72b52fa3b82ed3bb2a467d9079b9a,3.10625e+16,0x000047bf62d55da135b83388be9fb55db65b1d885dcad94a0c5c8134fe2f8ee3,2022-10-07 14:27:47,0.0310625
0x0000499f5bcd350f9c1f8088e1ad104f1d1534b2df760ab512c1dbf5bfc9a7db-334,0xbdb511d99c6e66efa47beaeb01eee12728e7a18d,0x631ca3a4ec5dc62a0e20a8b3eacb1f7b59ad48bc,1.0,0x0000499f5bcd350f9c1f8088e1ad104f1d1534b2df760ab512c1dbf5bfc9a7db,2023-01-09 01:06:11,1e-18
0x00004b1d97d9249904fd8a6241732b6155c66402f0cdc6e771d20864c6ebf8ed-44,0x2cd89843f50d327678dab637e679e059e6e4e798,0xa456896474ccea58c03f90aded46eef14f64222b,1.16564e+17,0x00004b1d97d9249904fd8a6241732b6155c66402f0cdc6e771d20864c6ebf8ed,2022-11-19 10:15:23,0.116564
